FusionName	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	dataset	num_LR	LR_FFPM	num_SR	SR_FFPM
KIF5B--RET	KIF5B	chr10:32017143:-	RET	chr10:43114480:+	ISO-seq	67	13.933	2	0.3094
KIF5B--RET	KIF5B	chr10:32017143:-	RET	chr10:43114480:+	MAS-seq-R1	134	17.046	8	0.7822
KIF5B--RET	KIF5B	chr10:32017143:-	RET	chr10:43114480:+	MAS-seq-R2	139	18.337	8	0.8022
SLC34A2--ROS1	SLC34A2	chr4:25664330:+	ROS1	chr6:117324415:-	ISO-seq	60	12.477	4	0.6188
SLC34A2--ROS1	SLC34A2	chr4:25664330:+	ROS1	chr6:117324415:-	MAS-seq-R1	75	9.541	3	0.2933
SLC34A2--ROS1	SLC34A2	chr4:25664330:+	ROS1	chr6:117324415:-	MAS-seq-R2	88	11.609	2	0.2005
FGFR3--TACC3	FGFR3	chr4:1806934:+	TACC3	chr4:1739702:+	ISO-seq	58	12.061	0	NA
FGFR3--TACC3	FGFR3	chr4:1806934:+	TACC3	chr4:1739702:+	MAS-seq-R1	104	13.23	5	0.4889
FGFR3--TACC3	FGFR3	chr4:1806934:+	TACC3	chr4:1739702:+	MAS-seq-R2	97	12.796	0	NA
LMNA--NTRK1	LMNA	chr1:156130773:+	NTRK1	chr1:156874906:+	ISO-seq	52	10.814	2	0.3094
LMNA--NTRK1	LMNA	chr1:156130773:+	NTRK1	chr1:156874906:+	MAS-seq-R1	94	11.957	2	0.1956
LMNA--NTRK1	LMNA	chr1:156130773:+	NTRK1	chr1:156874906:+	MAS-seq-R2	103	13.588	0	NA
CD74--ROS1	CD74	chr5:150404680:-	ROS1	chr6:117324415:-	ISO-seq	51	10.606	2	0.3094
CD74--ROS1	CD74	chr5:150404680:-	ROS1	chr6:117324415:-	MAS-seq-R1	74	9.413	3	0.2933
CD74--ROS1	CD74	chr5:150404680:-	ROS1	chr6:117324415:-	MAS-seq-R2	63	8.311	2	0.2006
TMPRSS2--ERG	TMPRSS2	chr21:41508081:-	ERG	chr21:38584945:-	ISO-seq	45	9.358	0	NA
TMPRSS2--ERG	TMPRSS2	chr21:41508081:-	ERG	chr21:38584945:-	MAS-seq-R1	98	12.466	1	0.0978
