FusionName	celltype_final	tot_cells_w_fusion	frac_fusion_cells	annots	LeftBreakpoint	RightBreakpoint	Arriba	ctat-LR-fusion	FusionInspector	STAR-Fusion
IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]	chr3:185696612:-	chr12:54950390:-	92	174	138	16
IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]	chr3:185823153:-	chr12:54950390:-	6	52	13	5
IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]	chr3:185824783:-	chr12:54950390:-	4	17	6	5
IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]	chr3:185698299:-	chr12:54950390:-	1	5	1	1
IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]	chr3:185696609:-	chr12:54950390:-	NA	NA	3	NA
PSMB7--SCAI	HGSOC	52	0.981132075471698	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]	chr9:124405317:-	chr9:125056007:-	2	28	2	2
PSMB7--SCAI	HGSOC	52	0.981132075471698	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]	chr9:124405317:-	chr9:125066058:-	NA	26	3	2
PSMB7--SCAI	HGSOC	52	0.981132075471698	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]	chr9:124412352:-	chr9:125056007:-	NA	9	2	1
PSMB7--SCAI	HGSOC	52	0.981132075471698	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]	chr9:124405317:-	chr9:125029739:-	NA	2	NA	NA
SRSF7--DHX57	HGSOC	36	0.972972972972973	SRSF7--DHX57:[DepMap2023,CCLE_StarF2019];INTRACHROMOSOMAL[chr2:0.05Mb];LOCAL_REARRANGEMENT:-:[46235];;(recip)DHX57--SRSF7:INTRACHROMOSOMAL[chr2:0.05Mb];NEIGHBORS[46235]	chr2:38746144:-	chr2:38815655:-	NA	35	3	2
