proxy_fusion_name	type	sample	FusionName	lex_ordered_fusion_name
VCAP|PIK3C2A--TEAD1	shared	VCAP	PIK3C2A--TEAD1	VCAP|PIK3C2A--TEAD1
DMS53|PEX5L--STRADB	shared	DMS53	PEX5L--STRADB	DMS53|PEX5L--STRADB
SKBR3|TATDN1--GSDMB	shared	SKBR3	TATDN1--GSDMB	SKBR3|GSDMB--TATDN1
VCAP|INPP4A--HJURP	shared	VCAP	INPP4A--HJURP	VCAP|HJURP--INPP4A
VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	VCAP|FAM172A--PDE4D
VCAP|NDUFAF2--MAST4	shared	VCAP	NDUFAF2--MAST4	VCAP|MAST4--NDUFAF2
VCAP|RC3H2--RGS3	shared	VCAP	RC3H2--RGS3	VCAP|RC3H2--RGS3
SKBR3|SAMD12--MRPL13	shared	SKBR3	SAMD12--MRPL13	SKBR3|MRPL13--SAMD12
HCC1187|AKAP13--PDE8A	shared	HCC1187	AKAP13--PDE8A	HCC1187|AKAP13--PDE8A
SKBR3|SUMF1--LRRFIP2	shared	SKBR3	SUMF1--LRRFIP2	SKBR3|LRRFIP2--SUMF1
HCC1395|E2F3--PKD2	shared	HCC1395	E2F3--PKD2	HCC1395|E2F3--PKD2
HCC1395|PLA2R1--RBMS1	shared	HCC1395	PLA2R1--RBMS1	HCC1395|PLA2R1--RBMS1
SKBR3|ANKHD1--PCDH1	shared	SKBR3	ANKHD1--PCDH1	SKBR3|ANKHD1--PCDH1
K562|BAG6--SLC44A4	shared	K562	BAG6--SLC44A4	K562|BAG6--SLC44A4
VCAP|ADCK3--RNF187	shared	VCAP	ADCK3--RNF187	VCAP|ADCK3--RNF187
K562|C16orf87--ORC6	shared	K562	C16orf87--ORC6	K562|C16orf87--ORC6
HCC1187|AGPAT5--MCPH1	shared	HCC1187	AGPAT5--MCPH1	HCC1187|AGPAT5--MCPH1
HCC1395|EIF3K--CYP39A1	shared	HCC1395	EIF3K--CYP39A1	HCC1395|CYP39A1--EIF3K
RT112|FGFR3--TACC3	shared	RT112	FGFR3--TACC3	RT112|FGFR3--TACC3
K562|NUP214--XKR3	shared	K562	NUP214--XKR3	K562|NUP214--XKR3
HCC1187|TMX2--SMTNL1	shared	HCC1187	TMX2--SMTNL1	HCC1187|SMTNL1--TMX2
HCC1187|PLXND1--TMCC1	shared	HCC1187	PLXND1--TMCC1	HCC1187|PLXND1--TMCC1
KIJK|NPM1--ALK	shared	KIJK	NPM1--ALK	KIJK|ALK--NPM1
VCAP|VWA2--PRKCH	shared	VCAP	VWA2--PRKCH	VCAP|PRKCH--VWA2
SKBR3|KLHDC2--SNTB1	shared	SKBR3	KLHDC2--SNTB1	SKBR3|KLHDC2--SNTB1
HCC1395|PRRC2B--FUBP3	shared	HCC1395	PRRC2B--FUBP3	HCC1395|FUBP3--PRRC2B
VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	VCAP|HSF1--RERE
VCAP|C16orf70--ENKD1	shared	VCAP	C16orf70--ENKD1	VCAP|C16orf70--ENKD1
KIJK|YTHDF2--TAF12	shared	KIJK	YTHDF2--TAF12	KIJK|TAF12--YTHDF2
HCC1187|KMT2E--LHFPL3	shared	HCC1187	KMT2E--LHFPL3	HCC1187|KMT2E--LHFPL3
HCC1187|ALDOA--SHISA9	shared	HCC1187	ALDOA--SHISA9	HCC1187|ALDOA--SHISA9
VCAP|ARMC6--SSX3	shared	VCAP	ARMC6--SSX3	VCAP|ARMC6--SSX3
HCC1187|SEC22B--NOTCH2	shared	HCC1187	SEC22B--NOTCH2	HCC1187|NOTCH2--SEC22B
DMS53|GALNT8--PRMT8	shared	DMS53	GALNT8--PRMT8	DMS53|GALNT8--PRMT8
VCAP|SLMAP--ANO10	shared	VCAP	SLMAP--ANO10	VCAP|ANO10--SLMAP
VCAP|ANO10--SLMAP	shared	VCAP	ANO10--SLMAP	VCAP|ANO10--SLMAP
VCAP|HJURP--EIF4E2	shared	VCAP	HJURP--EIF4E2	VCAP|EIF4E2--HJURP
SKBR3|TAF2--COLEC10	shared	SKBR3	TAF2--COLEC10	SKBR3|COLEC10--TAF2
DMS53|R3HCC1L--PGAM1	shared	DMS53	R3HCC1L--PGAM1	DMS53|PGAM1--R3HCC1L
VCAP|TMPRSS2--ERG	shared	VCAP	TMPRSS2--ERG	VCAP|ERG--TMPRSS2
VCAP|PSMG1--UNK	shared	VCAP	PSMG1--UNK	VCAP|PSMG1--UNK
HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	HCC1395|MFSD3--MROH1
SKBR3|NCOA2--CALB1	shared	SKBR3	NCOA2--CALB1	SKBR3|CALB1--NCOA2
KIJK|ZFYVE27--C10orf76	shared	KIJK	ZFYVE27--C10orf76	KIJK|C10orf76--ZFYVE27
KIJK|SCMH1--NPM1	shared	KIJK	SCMH1--NPM1	KIJK|NPM1--SCMH1
KIJK|RP11-444D3.1--SOX5	shared	KIJK	RP11-444D3.1--SOX5	KIJK|RP11-444D3.1--SOX5
SKBR3|DHX35--ITCH	shared	SKBR3	DHX35--ITCH	SKBR3|DHX35--ITCH
VCAP|TIA1--DIRC2	shared	VCAP	TIA1--DIRC2	VCAP|DIRC2--TIA1
HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	HCC1187|EXOSC10--LINC01535
VCAP|PDGFA--FO538757.2	shared	VCAP	PDGFA--FO538757.2	VCAP|FO538757.2--PDGFA
DMS53|POC1B--MGAT4C	shared	DMS53	POC1B--MGAT4C	DMS53|MGAT4C--POC1B
MJ|RP11-444D3.1--SOX5	shared	MJ	RP11-444D3.1--SOX5	MJ|RP11-444D3.1--SOX5
SKBR3|RARA--PKIA	shared	SKBR3	RARA--PKIA	SKBR3|PKIA--RARA
SKBR3|CYTH1--EIF3H	shared	SKBR3	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H
HCC1187|CTNND1--SMTNL1	shared	HCC1187	CTNND1--SMTNL1	HCC1187|CTNND1--SMTNL1
HCC1395|RAB7A--LRCH3	shared	HCC1395	RAB7A--LRCH3	HCC1395|LRCH3--RAB7A
VCAP|LMAN2--AP3S1	shared	VCAP	LMAN2--AP3S1	VCAP|AP3S1--LMAN2
HCC1187|PUM1--TRERF1	shared	HCC1187	PUM1--TRERF1	HCC1187|PUM1--TRERF1
VCAP|PDE4D--C5orf47	shared	VCAP	PDE4D--C5orf47	VCAP|C5orf47--PDE4D
HCC1395|TBC1D16--AC012354.6	shared	HCC1395	TBC1D16--AC012354.6	HCC1395|AC012354.6--TBC1D16
VCAP|ZDHHC7--ABCB9	shared	VCAP	ZDHHC7--ABCB9	VCAP|ABCB9--ZDHHC7
SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	SKBR3|TBC1D31--ZNF704
HCC1395|SLMAP--AC017104.4	shared	HCC1395	SLMAP--AC017104.4	HCC1395|AC017104.4--SLMAP
DMS53|KRT7--OR7E47P	shared	DMS53	KRT7--OR7E47P	DMS53|KRT7--OR7E47P
HCC1395|MDH1--LINC01278	shared	HCC1395	MDH1--LINC01278	HCC1395|LINC01278--MDH1
DMS53|ABR--CDK14	shared	DMS53	ABR--CDK14	DMS53|ABR--CDK14
HCC1187|CTAGE5--GEMIN2	shared	HCC1187	CTAGE5--GEMIN2	HCC1187|CTAGE5--GEMIN2
K562|RP11-408A13.2--NFIB	shared	K562	RP11-408A13.2--NFIB	K562|NFIB--RP11-408A13.2
VCAP|ZNF57--LPPR2	shared	VCAP	ZNF57--LPPR2	VCAP|LPPR2--ZNF57
