sample.starF	FusionName.StarF	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	lex_ordered_fusion_name	proxy_fusion_name.starF	LR_progs	num_LR_progs	type	FusionName.LR	sample.arriba	gene1	gene2	confidence	split_reads1	split_reads2	discordant_mates	FusionName.arriba	proxy_fusion_name.arriba	has_long_read_support	progs	left_gene_coords	right_gene_coords	priority_fusion_name
RT112	FGFR3--TACC3	1693	671	1693	671	ONLY_REF_SPLICE	FGFR3^ENSG00000068078.16	chr4:1806934:+	TACC3^ENSG00000013810.17	chr4:1739702:+	YES_LDAS	46.0287	GT	1.8892	AG	1.7819	[ChimerKB,ChimerSeq,TCGA_StarF2019,CCLE_StarF2019,YOSHIHARA_TCGA,Klijn_CellLines,DEEPEST2019,GUO2018CR_TCGA,ChimerPub,TumorFusionsNAR2018,Cosmic,INTRACHROMOSOMAL[chr4:0.05Mb],LOCAL_REARRANGEMENT:+:[48131]]	RT112|FGFR3--TACC3	RT112|FGFR3--TACC3	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	FGFR3--TACC3	RT112	FGFR3	TACC3	high	303	301	300	FGFR3--TACC3	RT112|FGFR3--TACC3	TRUE	starF,arriba	chr4:1793307-1808872	chr4:1721490-1745176	FGFR3--TACC3
RT112	EEF1DP3--FRY	56	30	56	30	ONLY_REF_SPLICE	EEF1DP3^ENSG00000229715.4	chr13:31946181:+	FRY^ENSG00000073910.18	chr13:32078834:+	YES_LDAS	1.6745	GT	1.8256	AG	1.7819	[GTEx_recurrent_StarF2019,Babiceanu_Normal,INTRACHROMOSOMAL[chr13:0.08Mb],NEIGHBORS[77828]]	RT112|EEF1DP3--FRY	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr13:31846841-31953472	chr13:32031300-32299122	EEF1DP3--FRY
RT112	DHRS7B--ALDH3A1	38	0	38	0	ONLY_REF_SPLICE	DHRS7B^ENSG00000109016.16	chr17:21126991:+	ALDH3A1^ENSG00000108602.16	chr17:19738453:-	YES_LDAS	0.7399	GT	1.8295	AG	1.7465	[CCLE_StarF2019,INTRACHROMOSOMAL[chr17:1.37Mb]]	RT112|ALDH3A1--DHRS7B	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:19737984-19748943	chr17:21123364-21193265	DHRS7B--ALDH3A1
RT112	TVP23C--CDRT4	38	51	38	43.61	ONLY_REF_SPLICE	TVP23C^ENSG00000175106.15	chr17:15540433:-	CDRT4^ENSG00000239704.9	chr17:15440285:-	YES_LDAS	1.589	GT	1.8323	AG	1.9899	[INTRACHROMOSOMAL[chr17:0.03Mb],NEIGHBORS[26536]]	RT112|CDRT4--TVP23C	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:15436015-15503608	chr17:15502264-15563595	TVP23C--CDRT4
RT112	LEPROT--LEPR	12	3	12	3	ONLY_REF_SPLICE	LEPROT^ENSG00000213625.7	chr1:65425378:+	LEPR^ENSG00000116678.17	chr1:65565546:+	YES_LDAS	0.292	GT	1.8256	AG	1.9219	[GTEx_recurrent_StarF2019,ChimerSeq,INTRACHROMOSOMAL[chr1:0.09Mb],NEIGHBORS[89682]]	RT112|LEPR--LEPROT	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr1:65420652-65641559	chr1:65420587-65436007	LEPROT--LEPR
RT112	TVP23C--CDRT4	12	31	12	5.25	ONLY_REF_SPLICE	TVP23C^ENSG00000175106.15	chr17:15545785:-	CDRT4^ENSG00000239704.9	chr17:15440285:-	YES_LDAS	0.3358	GT	1.9086	AG	1.9899	[INTRACHROMOSOMAL[chr17:0.03Mb],NEIGHBORS[26536]]	RT112|CDRT4--TVP23C	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:15436015-15503608	chr17:15502264-15563595	TVP23C--CDRT4
RT112	KANSL1--ARL17B	9	4	8.99	4	ONLY_REF_SPLICE	KANSL1^ENSG00000120071.11	chr17:46094560:-	ARL17B^ENSG00000228696.7	chr17:46352930:-	YES_LDAS	0.2529	GT	1.8892	AG	1.7056	[GTEx_recurrent_StarF2019,Babiceanu_Normal,ChimerSeq,INTRACHROMOSOMAL[chr17:0.05Mb],LOCAL_REARRANGEMENT:-:[49410]]	RT112|ARL17B--KANSL1	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:46274784-46361797	chr17:46029916-46225374	KANSL1--ARL17B
RT112	WHSC1--GRK4	9	8	9	5.41	ONLY_REF_SPLICE	WHSC1^ENSG00000109685.16	chr4:1939778:+	GRK4^ENSG00000125388.18	chr4:2992215:+	YES_LDAS	0.2805	GT	1.8062	AG	1.8062	[Klijn_CellLines,INTRACHROMOSOMAL[chr4:0.98Mb]]	RT112|GRK4--WHSC1	RT112|WHSC1--GRK4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	WHSC1--GRK4	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	starF	chr4:2963608-3040747	chr4:1871424-1982207	WHSC1--GRK4
RT112	POM121C--ZP3	8	2	6.18	2	ONLY_REF_SPLICE	POM121C^ENSG00000272391.4	chr7:75440954:-	ZP3^ENSG00000188372.13	chr7:76434038:+	YES_LDAS	0.1592	GT	1.1589	AG	1.8256	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr7:0.91Mb]]	RT112|POM121C--ZP3	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr7:75416787-75486271	chr7:76397518-76442071	POM121C--ZP3
RT112	RP4-769N13.6--GPRASP2	6	4	6	4	ONLY_REF_SPLICE	RP4-769N13.6^ENSG00000271147.6	chrX:102605653:+	GPRASP2^ENSG00000158301.17	chrX:102713782:+	YES_LDAS	0.1947	GT	1.6895	AG	1.9656	[INTRACHROMOSOMAL[chrX:0.06Mb],NEIGHBORS[62031]]	RT112|GPRASP2--RP4-769N13.6	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chrX:102712176-102717733	chrX:102599512-102714671	RP4-769N13.6--GPRASP2
RT112	C15orf57--CBX3	6	7	6	4.2	INCL_NON_REF_SPLICE	C15orf57^ENSG00000128891.14	chr15:40562772:-	CBX3^ENSG00000122565.17	chr7:26201769:+	YES_LDAS	0.1986	GT	1.8892	AG	1.3383	[Babiceanu_Normal,INTERCHROMOSOMAL[chr15--chr7]]	RT112|C15orf57--CBX3	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr15:40528683-40565057	chr7:26201162-26213356	C15orf57--CBX3
RT112	TVP23C--CDRT4	6	29	4.65	2.03	ONLY_REF_SPLICE	TVP23C^ENSG00000175106.15	chr17:15540433:-	CDRT4^ENSG00000239704.9	chr17:15438200:-	YES_LDAS	0.13	GT	1.8323	AG	1.6402	[INTRACHROMOSOMAL[chr17:0.03Mb],NEIGHBORS[26536]]	RT112|CDRT4--TVP23C	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:15436015-15503608	chr17:15502264-15563595	TVP23C--CDRT4
RT112	RP11-123O10.4--GRIP1	5	1	5	1	ONLY_REF_SPLICE	RP11-123O10.4^ENSG00000256248.1	chr12:67069050:-	GRIP1^ENSG00000155974.10	chr12:66596927:-	YES_LDAS	0.1169	GT	1.2729	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.09Mb],NEIGHBORS[87690]]	RT112|GRIP1--RP11-123O10.4	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr12:66347431-66804186	chr12:66891876-67069162	RP11-123O10.4--GRIP1
RT112	RP11-120D5.1--MID1	5	2	5	2	ONLY_REF_SPLICE	RP11-120D5.1^ENSG00000234129.6	chrX:11055936:-	MID1^ENSG00000101871.13	chrX:10567603:-	YES_LDAS	0.1363	GT	1.9219	AG	1.9656	[INTRACHROMOSOMAL[chrX:0.01Mb],NEIGHBORS[14223]]	RT112|MID1--RP11-120D5.1	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chrX:10445310-10833654	chrX:10847877-11111141	RP11-120D5.1--MID1
RT112	NRIP1--AF127936.7	5	5	5	5	ONLY_REF_SPLICE	NRIP1^ENSG00000180530.8	chr21:15014344:-	AF127936.7^ENSG00000281903.1	chr21:14857708:-	YES_LDAS	0.1948	GT	1.8892	AG	1.5546	[INTRACHROMOSOMAL[chr21:0.04Mb],NEIGHBORS[42683]]	RT112|AF127936.7--NRIP1	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr21:14819699-14918552	chr21:14961235-15065000	NRIP1--AF127936.7
RT112	SCHLAP1--UBE2E3	5	6	5	4.29	ONLY_REF_SPLICE	SCHLAP1^ENSG00000281131.1	chr2:180827507:+	UBE2E3^ENSG00000170035.14	chr2:180982018:+	YES_LDAS	0.1809	GT	1.8295	AG	1.8323	[INTRACHROMOSOMAL[chr2:0.05Mb],NEIGHBORS[50309]]	RT112|SCHLAP1--UBE2E3	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr2:180692104-180916939	chr2:180967248-181076585	SCHLAP1--UBE2E3
RT112	TVP23C--RP11-849N15.4	4	2	4	2	ONLY_REF_SPLICE	TVP23C^ENSG00000175106.15	chr17:15540433:-	RP11-849N15.4^ENSG00000266667.1	chr17:15416233:-	YES_LDAS	0.1168	GT	1.8323	AG	1.585	[INTRACHROMOSOMAL[chr17:0.08Mb],NEIGHBORS[84386]]	RT112|RP11-849N15.4--TVP23C	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr17:15379864-15417878	chr17:15502264-15563595	TVP23C--RP11-849N15.4
